Date;Close
06/04/2015;1.461.999.969.482.420
07/04/2015;1.419.499.969.482.420
08/04/2015;1.356.999.969.482.420
09/04/2015;1.374.499.969.482.420
10/04/2015;13.510.000.610.351.500
13/04/2015;133.75
14/04/2015;13.460.000.610.351.500
15/04/2015;1.358.000.030.517.570
16/04/2015;13.960.000.610.351.500
17/04/2015;1.386.999.969.482.420
20/04/2015;1.386.999.969.482.420
21/04/2015;1.403.000.030.517.570
22/04/2015;14.239.999.389.648.400
23/04/2015;1.404.499.969.482.420
24/04/2015;14.114.999.389.648.400
27/04/2015;13.610.000.610.351.500
28/04/2015;13.814.999.389.648.400
29/04/2015;13.835.000.610.351.500
30/04/2015;1.365.500.030.517.570
01/05/2015;1.334.499.969.482.420
04/05/2015;13.185.000.610.351.500
05/05/2015;1.325.500.030.517.570
06/05/2015;1.280.500.030.517.570
07/05/2015;13.085.000.610.351.500
08/05/2015;13.289.999.389.648.400
11/05/2015;13.335.000.610.351.500
12/05/2015;134.5
13/05/2015;13.439.999.389.648.400
14/05/2015;13.564.999.389.648.400
15/05/2015;1.371.999.969.482.420
18/05/2015;14.164.999.389.648.400
19/05/2015;13.985.000.610.351.500
20/05/2015;136.0
21/05/2015;1.284.499.969.482.420
22/05/2015;12.694.999.694.824.200
26/05/2015;12.405.000.305.175.700
27/05/2015;124.5
28/05/2015;1.251.500.015.258.780
29/05/2015;1.261.500.015.258.780
01/06/2015;1.298.000.030.517.570
02/06/2015;1.326.999.969.482.420
03/06/2015;1.343.000.030.517.570
04/06/2015;1.356.999.969.482.420
05/06/2015;13.510.000.610.351.500
08/06/2015;1.365.500.030.517.570
09/06/2015;13.735.000.610.351.500
10/06/2015;1.364.499.969.482.420
11/06/2015;132.0
12/06/2015;1.320.500.030.517.570
15/06/2015;12.780.000.305.175.700
16/06/2015;12.935.000.610.351.500
17/06/2015;1.266.500.015.258.780
18/06/2015;1.286.999.969.482.420
19/06/2015;1.271.500.015.258.780
22/06/2015;13.035.000.610.351.500
23/06/2015;12.769.999.694.824.200
24/06/2015;1.333.000.030.517.570
25/06/2015;13.335.000.610.351.500
26/06/2015;1.316.999.969.482.420
29/06/2015;1.308.000.030.517.570
30/06/2015;13.064.999.389.648.400
01/07/2015;1.250.999.984.741.210
02/07/2015;1.255.999.984.741.210
06/07/2015;12.330.000.305.175.700
07/07/2015;1.229.000.015.258.780
08/07/2015;1.231.500.015.258.780
09/07/2015;122.75
10/07/2015;12.294.999.694.824.200
13/07/2015;1.265.999.984.741.210
14/07/2015;12.985.000.610.351.500
15/07/2015;128.0
16/07/2015;12.744.999.694.824.200
17/07/2015;127.0
20/07/2015;1.258.499.984.741.210
21/07/2015;1.238.499.984.741.210
22/07/2015;12.505.000.305.175.700
23/07/2015;12.155.000.305.175.700
24/07/2015;122.25
27/07/2015;1.204.000.015.258.780
28/07/2015;120.25
29/07/2015;1.221.500.015.258.780
30/07/2015;1.249.000.015.258.780
31/07/2015;125.25
03/08/2015;12.394.999.694.824.200
04/08/2015;1.249.000.015.258.780
05/08/2015;1.259.000.015.258.780
06/08/2015;124.25
07/08/2015;12.780.000.305.175.700
10/08/2015;133.5
11/08/2015;1.371.999.969.482.420
12/08/2015;13.185.000.610.351.500
13/08/2015;1.370.500.030.517.570
14/08/2015;137.5
17/08/2015;134.75
18/08/2015;1.353.000.030.517.570
19/08/2015;13.114.999.389.648.400
20/08/2015;1.276.500.015.258.780
21/08/2015;1.219.000.015.258.780
24/08/2015;117.5
25/08/2015;11.705.000.305.175.700
26/08/2015;11.869.999.694.824.200
27/08/2015;12.105.000.305.175.700
28/08/2015;12.044.999.694.824.200
31/08/2015;12.055.000.305.175.700
01/09/2015;11.705.000.305.175.700
02/09/2015;11.469.999.694.824.200
03/09/2015;11.619.999.694.824.200
04/09/2015;1.158.499.984.741.210
08/09/2015;11.769.999.694.824.200
09/09/2015;11.780.000.305.175.700
10/09/2015;11.305.000.305.175.700
11/09/2015;1.133.499.984.741.210
14/09/2015;117.0
15/09/2015;115.5
16/09/2015;11.380.000.305.175.700
17/09/2015;113.5
18/09/2015;1.133.499.984.741.210
21/09/2015;117.25
22/09/2015;11.544.999.694.824.200
23/09/2015;11.619.999.694.824.200
24/09/2015;11.830.000.305.175.700
25/09/2015;12.269.999.694.824.200
28/09/2015;1.191.500.015.258.780
29/09/2015;1.208.499.984.741.210
30/09/2015;1.213.499.984.741.210
01/10/2015;120.75
02/10/2015;12.430.000.305.175.700
05/10/2015;12.755.000.305.175.700
06/10/2015;12.810.000.610.351.500
07/10/2015;12.605.000.305.175.700
08/10/2015;1.284.499.969.482.420
09/10/2015;13.160.000.610.351.500
12/10/2015;134.5
13/10/2015;13.435.000.610.351.500
14/10/2015;13.464.999.389.648.400
15/10/2015;1.336.999.969.482.420
16/10/2015;1.258.499.984.741.210
19/10/2015;1.239.000.015.258.780
20/10/2015;124.75
21/10/2015;121.0
22/10/2015;1.198.499.984.741.210
23/10/2015;11.844.999.694.824.200
26/10/2015;11.730.000.305.175.700
27/10/2015;11.730.000.305.175.700
28/10/2015;1.190.999.984.741.210
29/10/2015;12.030.000.305.175.700
30/10/2015;12.094.999.694.824.200
02/11/2015;11.880.000.305.175.700
03/11/2015;120.25
04/11/2015;120.5
05/11/2015;1.209.000.015.258.780
06/11/2015;117.75
09/11/2015;117.75
10/11/2015;11.630.000.305.175.700
11/11/2015;11.680.000.305.175.700
12/11/2015;11.530.000.305.175.700
13/11/2015;1.121.500.015.258.780
16/11/2015;1.143.499.984.741.210
17/11/2015;114.25
18/11/2015;112.75
19/11/2015;1.199.000.015.258.780
20/11/2015;1.219.000.015.258.780
23/11/2015;11.994.999.694.824.200
24/11/2015;12.244.999.694.824.200
25/11/2015;1.229.000.015.258.780
27/11/2015;121.0
30/11/2015;1.169.000.015.258.780
01/12/2015;1.171.500.015.258.780
02/12/2015;11.780.000.305.175.700
03/12/2015;12.205.000.305.175.700
04/12/2015;124.0
07/12/2015;1.226.500.015.258.780
08/12/2015;122.25
09/12/2015;1.238.499.984.741.210
10/12/2015;1.226.500.015.258.780
11/12/2015;1.180.999.984.741.210
14/12/2015;117.25
15/12/2015;1.156.500.015.258.780
16/12/2015;1.180.999.984.741.210
17/12/2015;11.780.000.305.175.700
18/12/2015;11.844.999.694.824.200
21/12/2015;117.5
22/12/2015;1.191.500.015.258.780
23/12/2015;12.094.999.694.824.200
24/12/2015;11.969.999.694.824.200
28/12/2015;1.191.500.015.258.780
29/12/2015;12.144.999.694.824.200
30/12/2015;1.236.500.015.258.780
31/12/2015;12.669.999.694.824.200
04/01/2016;1.239.000.015.258.780
05/01/2016;123.0
06/01/2016;11.994.999.694.824.200
07/01/2016;11.844.999.694.824.200
08/01/2016;119.0
